Price on site,Sale/Rent,Min price,Max price,Zip code,Site
"$2,380,000",Sale,2380000,2380000,40065,LoopNet
"$124,500",Sale,124500,124500,40505,LoopNet
"$250,000",Sale,250000,250000,40065,LoopNet
"$1,345,750",Sale,1345750,1345750,40065,LoopNet
-,Sale,0,0,40065,LoopNet
"$1,105,000",Sale,1105000,1105000,40065,LoopNet
"$456,000 - $9,062,000",Sale,456000,9062000,40065,LoopNet
"$2,150,000",Sale,2150000,2150000,40202,LoopNet
"$350,000",Sale,350000,350000,40065,LoopNet
"$349,000",Sale,349000,349000,40505,LoopNet
"$275,000",Sale,275000,275000,40505,LoopNet
"$2,850,000",Sale,2850000,2850000,40065,LoopNet
"$3,650,000",Sale,3650000,3650000,40505,LoopNet
"$336,000 - $2,307,195",Sale,336000,2307195,40505,LoopNet
"$99,000",Sale,99000,99000,40065,LoopNet
"$4,900,000",Sale,4900000,4900000,40202,LoopNet
"$699,000",Sale,699000,699000,40505,LoopNet
"$199,950",Sale,199950,199950,40505,LoopNet
"$1,275,000",Sale,1275000,1275000,40505,LoopNet
"$799,000",Sale,799000,799000,40505,LoopNet
"$64,900",Sale,64900,64900,47715,LoopNet
-,Sale,0,0,47715,LoopNet
-,Sale,0,0,47715,LoopNet
"$129,000",Sale,129000,129000,47715,LoopNet
"$850,000",Sale,850000,850000,47715,LoopNet
"$299,000 - $2,134,000",Sale,299000,2134000,47715,LoopNet
"$189,900",Sale,189900,189900,47715,LoopNet
"$1,100,000",Sale,1100000,1100000,47715,LoopNet
"$79,900",Sale,79900,79900,47715,LoopNet
"$60,000 - $388,500",Sale,60000,388500,47715,LoopNet
"$4,800,000",Sale,4800000,4800000,47715,LoopNet
"$350,000",Sale,350000,350000,47715,LoopNet
"$279,000",Sale,279000,279000,47715,LoopNet
"$150,000",Sale,150000,150000,47715,LoopNet
"$425,000",Sale,425000,425000,47715,LoopNet
"$696,960",Sale,696960,696960,47715,LoopNet
"$99,000",Sale,99000,99000,47715,LoopNet
"$835,000",Sale,835000,835000,47715,LoopNet
"$250,000",Sale,250000,250000,47715,LoopNet
"$685,000",Sale,685000,685000,47715,LoopNet
"$19,900",Sale,19900,19900,47711,LoopNet
"$299,000",Sale,299000,299000,47711,LoopNet
"$995,000",Sale,995000,995000,47711,LoopNet
"$295,000",Sale,295000,295000,47711,LoopNet
"$2,600,000",Sale,2600000,2600000,47711,LoopNet
"$2,573,426",Sale,2573426,2573426,47711,LoopNet
"$215,000",Sale,215000,215000,47711,LoopNet
"$11,300,000",Sale,11300000,11300000,47711,LoopNet
"$160,000",Sale,160000,160000,62236,LoopNet
"$389,000",Sale,389000,389000,65109,LoopNet
"$3,584,000",Sale,3584000,3584000,65109,LoopNet
"$275,000",Sale,275000,275000,65109,LoopNet
"$2,000,000",Sale,2000000,2000000,62236,LoopNet
"$4,248,105",Sale,4248105,4248105,62236,LoopNet
"$375,000",Sale,375000,375000,65109,LoopNet
-,Sale,0,0,65109,LoopNet
"$2,750,000",Sale,2750000,2750000,65109,LoopNet
"$180,000",Sale,180000,180000,62236,LoopNet
"$279,900",Sale,279900,279900,65109,LoopNet
"$749,500",Sale,749500,749500,64050,LoopNet
"$750,000",Sale,750000,750000,66212,LoopNet
-,Sale,0,0,66212,LoopNet
"$1,000,000",Sale,1000000,1000000,66212,LoopNet
"$975,000",Sale,975000,975000,66212,LoopNet
"$1,500,000",Sale,1500000,1500000,66212,LoopNet
-,Sale,0,0,64050,LoopNet
"$25,000",Sale,25000,25000,64050,LoopNet
"$2,000,000",Sale,2000000,2000000,64050,LoopNet
"$2,975,000",Sale,2975000,2975000,64050,LoopNet
"$2,500,000",Sale,2500000,2500000,94577,LoopNet
-,Sale,0,0,94577,LoopNet
"$1,000,000",Sale,1000000,1000000,64050,LoopNet
"$1,000,000",Sale,1000000,1000000,94577,LoopNet
"$2,650,000",Sale,2650000,2650000,94577,LoopNet
"$1,650,000",Sale,1650000,1650000,64128,LoopNet
"$1,250,000",Sale,1250000,1250000,64128,LoopNet
"$1,022,250 - $2,800,000",Sale,1022250,2800000,94577,LoopNet
"$6,500,000",Sale,6500000,6500000,94577,LoopNet
"$16,650,000",Sale,16650000,16650000,94577,LoopNet
"$5,200,000",Sale,5200000,5200000,94115,LoopNet
"$5,200,000",Sale,5200000,5200000,94115,LoopNet
"$1,425,000",Sale,1425000,1425000,94577,LoopNet
"$725,000",Sale,725000,725000,94577,LoopNet
"$3,650,000",Sale,3650000,3650000,94115,LoopNet
"$5,990,000",Sale,5990000,5990000,94115,LoopNet
"$6,750,000",Sale,6750000,6750000,94115,LoopNet
